filename,area_px,area_m2,coverage_pct,centroid_x,centroid_y,perimeter_px,perimeter_m,orientation_deg,spread_ratio,num_components,compactness,mean_intensity,max_intensity,std_intensity,density_score,risk_score,risk_level,risk_factors
patch_286.tif,88,22.0,0.13,173,127,72.18,36.0919,-177.09,1.159,45,0.016889,1.0,1.0,0.0,1.0,39.0,MEDIUM,"coverage 0.13% → MINIMAL (<2%) | spread_ratio 1.159 → LOW (<2, compact shape) | components 45 → CRITICAL (>=5, fragmented spill) | density 1.0 → CRITICAL (>=0.95)"
patch_287.tif,249,62.25,0.38,109,94,242.79,121.397,52.3,2.333,117,0.004224,1.0,1.0,0.0,1.0,45.0,MEDIUM,"coverage 0.38% → MINIMAL (<2%) | spread_ratio 2.333 → MEDIUM (2-5) | components 117 → CRITICAL (>=5, fragmented spill) | density 1.0 → CRITICAL (>=0.95)"
patch_288.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_289.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_29.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_290.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_291.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_292.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_293.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
patch_294.tif,0,0.0,0.0,0,0,0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,LOW,"coverage 0.0% → MINIMAL (<2%) | spread_ratio 0.0 → LOW (<2, compact shape) | components 0 → NONE (no spill detected) | density 0.0 → LOW (<0.70)"
